customer_id,name,age,gender,country,plan_type,monthly_charge,tenure_months,watch_hours_per_week,num_profiles,logins_last_30_days,last_login_days_ago,preferred_genre,device_type,payment_method,payment_failures_3m,support_tickets,clv_score,clv_segment,churn_probability,churn,email
CUST00019,Hemani Srinivas,27,Female,India,Premium,799,19,27.2,3,16,11,Romance,Mobile,Debit Card,1,3,6332.99,Medium,0.5828,1,hemani_srinivas@outlook.com
CUST00020,Vritti Rajagopal,38,Female,Canada,Basic,199,7,3.3,4,8,4,Action,Tablet,Wallet,1,1,608.88,Low,0.5629,1,vrittirajagopal48@yahoo.com
CUST00021,Harinakshi Karnik,35,Male,UK,Premium,799,35,37.2,4,9,0,Comedy,Mobile,Wallet,0,2,23809.77,High,0.1486,1,harinakshi.karnik@ymail.com
CUST00022,Nandini Cherian,41,Male,India,Standard,499,6,2.3,1,9,4,Romance,Mobile,Debit Card,0,1,2156.59,Low,0.2797,0,nandinicherian82@rediffmail.com
CUST00023,Waida Mittal,22,Male,India,Basic,199,5,5.1,4,5,4,Kids,Tablet,Credit Card,0,0,749.28,Low,0.3725,0,waida_mittal@yahoo.com
CUST00024,Aahana Vora,27,Other,India,Basic,199,23,3.5,1,6,0,Romance,Tablet,UPI,0,1,2659.32,Low,0.419,0,aahanavora89@ymail.com
CUST00025,Pavani Karpe,36,Male,USA,Premium,799,33,3.5,2,14,2,Kids,Tablet,Wallet,0,2,18427.86,High,0.3011,0,pavani.karpe@ymail.com
CUST00026,Nisha Master,33,Female,India,Basic,199,22,14.8,2,5,5,Action,Smart TV,Wallet,2,2,2799.41,Low,0.3606,0,nisha_master@yahoo.com
CUST00027,Harish Amble,42,Male,USA,Basic,199,18,11,3,10,6,Romance,Laptop,Credit Card,1,0,2054.73,Low,0.4264,1,harishamble35@outlook.com
CUST00028,Rajata Choudhry,33,Male,India,Basic,199,15,38.8,1,10,11,Drama,Smart TV,Wallet,0,0,2398.31,Low,0.1965,0,rajatachoudhry92@rediffmail.com
CUST00029,Yochana Gokhale,44,Other,India,Premium,799,13,7.6,1,13,9,Action,Tablet,Debit Card,1,0,7554.51,Medium,0.2727,0,yochana415@ymail.com
CUST00030,Tanveer Gupta,34,Female,India,Standard,499,41,5,3,11,0,Romance,Mobile,UPI,1,2,16110.59,High,0.2125,1,tanveergupta34@yahoo.com
CUST00031,Ekapad Shankar,38,Other,India,Premium,799,25,0.8,2,8,4,Documentary,Mobile,Debit Card,0,1,11064.23,High,0.4461,1,ekapad_shankar@ymail.com
CUST00032,Tristan Nadig,27,Female,India,Standard,499,14,40,3,8,4,Action,Tablet,UPI,0,0,6112.4,Medium,0.125,1,tristan448@ymail.com
CUST00033,Ekapad Jaggi,30,Male,India,Standard,499,11,6.4,3,7,1,Documentary,Mobile,Debit Card,0,1,4889.52,Medium,0.1092,0,ekapad151@hotmail.com
CUST00034,Vedhika Roy,37,Male,India,Premium,799,31,9.6,1,15,1,Documentary,Tablet,Debit Card,0,0,23221.97,High,0.0625,0,vedhika.roy@gmail.com
CUST00035,Teerth Swaminathan,42,Male,India,Basic,199,40,4.2,1,13,1,Kids,Laptop,Credit Card,0,0,7409.41,Medium,0.0692,0,teerth173@yahoo.com
CUST00036,Jagdish Raman,35,Female,India,Standard,499,38,6.3,3,13,0,Documentary,Laptop,Debit Card,3,3,6419.57,Medium,0.6615,0,jagdish404@rediffmail.com
CUST00037,Inaya Mital,29,Other,India,Premium,799,9,22.9,2,15,8,Comedy,Tablet,Wallet,0,0,6389.11,Medium,0.1115,0,inaya_mital@rediffmail.com
CUST00038,Xalak Bhagat,41,Other,Canada,Standard,499,15,1.5,1,8,0,Comedy,Laptop,UPI,2,0,842.43,Low,0.8875,1,xalak.bhagat@rediffmail.com
CUST00039,Ekantika Hegde,18,Other,Singapore,Premium,799,13,2.8,2,16,1,Action,Smart TV,Debit Card,0,0,8953.79,High,0.138,0,ekantika_hegde@ymail.com
CUST00040,Warjas Jain,18,Female,India,Standard,499,17,1.3,2,11,1,Kids,Mobile,Wallet,0,0,2122.72,Low,0.7498,1,warjas_jain@ymail.com
CUST00041,Aryan Chada,35,Female,India,Standard,499,35,12.6,1,18,6,Kids,Mobile,UPI,2,1,9954.37,High,0.43,1,aryan.chada@outlook.com
CUST00042,Ethan Chand,30,Female,India,Basic,199,49,0.5,2,12,0,Thriller,Mobile,Wallet,0,1,4956.23,Medium,0.4917,1,ethanchand93@ymail.com
CUST00043,Anvi Reddy,34,Other,India,Basic,199,26,0.7,3,12,0,Documentary,Laptop,Wallet,2,0,1546.16,Low,0.7012,1,anvi_reddy@rediffmail.com
CUST00044,Dhruv Jayaraman,30,Female,India,Basic,199,11,2.8,2,10,2,Documentary,Smart TV,Wallet,0,0,1765.35,Low,0.1935,1,dhruvjayaraman65@ymail.com
CUST00045,Hemangini Radhakrishnan,34,Female,India,Basic,199,19,5.8,4,18,1,Romance,Mobile,Wallet,3,0,1024.84,Low,0.7289,0,hemanginiradhakrishnan48@yahoo.com
CUST00046,Amol Kala,23,Other,India,Basic,199,55,4.2,1,15,2,Action,Tablet,Credit Card,0,0,7781.5,Medium,0.289,0,amol.kala@rediffmail.com
CUST00047,Gayathri Lala,34,Female,India,Basic,199,21,0.5,2,8,7,Action,Mobile,Credit Card,0,1,548.22,Low,0.8688,0,gayathri.lala@rediffmail.com
CUST00048,Timothy Sanghvi,37,Other,Singapore,Basic,199,15,25.3,3,14,0,Romance,Mobile,Wallet,1,0,2087.35,Low,0.3007,0,timothy_sanghvi@gmail.com
CUST00049,Chakradhar Chaudhuri,39,Other,India,Standard,499,16,24.4,3,14,0,Thriller,Mobile,UPI,1,0,5581.05,Medium,0.301,0,chakradhar.chaudhuri@yahoo.com
CUST00050,Harrison Sheth,46,Male,India,Basic,199,26,2.6,3,12,1,Documentary,Laptop,Wallet,0,0,3821.68,Medium,0.2614,0,harrison.sheth@gmail.com
CUST00051,Omisha Trivedi,31,Other,Canada,Basic,199,9,10.5,3,10,11,Thriller,Tablet,Wallet,4,0,426.76,Low,0.7617,1,omishatrivedi99@rediffmail.com
CUST00052,Oni Majumdar,32,Male,India,Basic,199,13,6.9,3,12,0,Romance,Smart TV,Credit Card,1,0,1545.66,Low,0.4025,0,onimajumdar61@ymail.com
CUST00053,Varenya Om,18,Female,India,Basic,199,37,2.2,1,15,29,Comedy,Smart TV,UPI,0,1,3818.36,Medium,0.4814,1,varenya903@hotmail.com
CUST00054,Maanav Boase,25,Male,USA,Premium,799,25,2.4,3,13,8,Action,Mobile,Debit Card,0,0,17047.54,High,0.1466,0,maanavboase70@yahoo.com
CUST00055,Yashica Gulati,28,Other,India,Standard,499,21,5.4,3,11,3,Documentary,Tablet,Wallet,0,0,8621.05,High,0.1773,0,yashica_gulati@ymail.com
CUST00056,Balvan Dani,38,Other,India,Standard,499,39,4.3,5,13,6,Thriller,Laptop,Wallet,0,1,17152.31,High,0.1186,1,balvan.dani@outlook.com
CUST00057,Anusha Bhagat,25,Other,India,Basic,199,10,2.8,3,12,3,Comedy,Smart TV,Credit Card,0,1,1448.09,Low,0.2723,0,anusha_bhagat@yahoo.com
CUST00058,Daksha Sarraf,36,Female,India,Standard,499,15,13.2,3,13,4,Action,Laptop,Wallet,1,0,5945.16,Medium,0.2057,0,dakshasarraf76@gmail.com
CUST00059,Amrita Bahri,29,Other,India,Basic,199,24,5.3,2,12,4,Kids,Tablet,Wallet,1,0,3561.34,Medium,0.2543,0,amrita.bahri@rediffmail.com
CUST00060,Upadhriti Panchal,28,Male,India,Basic,199,24,8.5,4,9,5,Kids,Mobile,Wallet,0,2,2685.22,Low,0.4378,0,upadhritipanchal81@ymail.com
CUST00061,Harshil Shere,31,Male,India,Premium,799,5,1.7,5,17,0,Thriller,Smart TV,UPI,0,1,990.06,Low,0.7935,0,harshil_shere@gmail.com
CUST00062,Januja More,26,Other,India,Standard,499,14,6.1,3,13,4,Kids,Tablet,Wallet,3,0,2790.27,Low,0.6006,0,januja_more@gmail.com
CUST00063,Logan Salvi,26,Female,India,Standard,499,17,3.1,3,15,6,Drama,Laptop,UPI,0,0,5607.51,Medium,0.339,0,logansalvi63@ymail.com
CUST00064,Raksha Khare,18,Other,India,Standard,499,26,6,1,8,1,Thriller,Tablet,Debit Card,0,0,11996.88,High,0.0753,0,raksha600@ymail.com
CUST00065,Nachiket Dhaliwal,28,Female,India,Premium,799,24,12.1,3,13,19,Kids,Tablet,Debit Card,1,2,8306.14,High,0.5668,1,nachiket836@yahoo.com
CUST00066,Onkar Madan,26,Female,India,Standard,499,18,11.7,3,11,0,Comedy,Tablet,Debit Card,1,1,4335.93,Medium,0.5173,1,onkar109@yahoo.com
CUST00067,Suhani Chokshi,25,Female,India,Basic,199,2,3.5,3,10,12,Kids,Tablet,Wallet,4,0,42.16,Low,0.9647,1,suhani430@hotmail.com
CUST00068,Laban Bose,33,Other,India,Basic,199,19,9.5,1,9,5,Documentary,Mobile,Credit Card,3,0,1492.24,Low,0.6053,0,laban.bose@ymail.com
CUST00069,Tanvi Dhar,35,Other,India,Basic,199,20,22.7,3,16,5,Comedy,Tablet,Wallet,3,3,485.68,Low,0.878,1,tanvi_dhar@gmail.com
CUST00070,Yochana Sharma,31,Other,India,Basic,199,72,7.9,1,16,10,Romance,Laptop,UPI,0,0,12706.38,High,0.1132,0,yochanasharma32@gmail.com
CUST00071,Guneet Kohli,37,Male,India,Basic,199,17,1.3,3,3,8,Kids,Tablet,Wallet,0,0,1042.02,Low,0.692,1,guneet153@rediffmail.com
CUST00072,Yagnesh Uppal,34,Male,USA,Premium,799,25,9.1,1,15,2,Action,Tablet,Credit Card,0,1,15106.78,High,0.2437,0,yagneshuppal36@yahoo.com
CUST00073,Atharv Raj,27,Female,India,Premium,799,43,0.9,3,14,6,Comedy,Smart TV,UPI,0,0,16708.6,High,0.5137,1,atharv.raj@gmail.com
CUST00074,Ansh Dewan,26,Female,India,Basic,199,34,16.5,1,10,0,Action,Tablet,UPI,0,1,5092.52,Medium,0.2473,0,ansh.dewan@gmail.com
CUST00075,Nitesh Om,32,Male,Canada,Standard,499,50,5.8,1,11,3,Comedy,Laptop,UPI,0,1,21907.76,High,0.1219,0,niteshom97@gmail.com
CUST00076,Libni Gole,34,Female,India,Basic,199,5,3.9,3,10,13,Romance,Mobile,Debit Card,0,2,455.2,Low,0.6188,1,libni507@yahoo.com
CUST00077,Harrison Srinivas,41,Other,India,Premium,799,8,0.5,1,10,1,Kids,Mobile,Wallet,0,1,1190.61,Low,0.8137,1,harrison.srinivas@yahoo.com
CUST00078,Arunima Srivastava,39,Male,India,Standard,499,12,3.8,3,17,0,Action,Tablet,Wallet,0,0,4889.26,Medium,0.1835,0,arunima12@yahoo.com
CUST00079,Shravya Krish,25,Male,India,Basic,199,4,18.7,4,11,4,Kids,Mobile,UPI,0,2,288.41,Low,0.7585,1,shravya302@hotmail.com
CUST00080,Michael Kakar,29,Male,India,Basic,199,21,0.5,5,18,2,Action,Tablet,Wallet,2,3,116.58,Low,0.9721,1,michael812@ymail.com
CUST00081,Zansi Buch,35,Other,India,Standard,499,8,5.1,1,11,2,Documentary,Laptop,Credit Card,1,0,2801.84,Low,0.2981,0,zansibuch25@yahoo.com
CUST00082,Ria Sagar,38,Other,India,Basic,199,54,21.4,4,10,4,Kids,Mobile,UPI,3,0,4055.44,Medium,0.6226,1,ria.sagar@gmail.com
CUST00083,Pavani Bhat,37,Other,India,Standard,499,10,4,2,17,4,Kids,Mobile,Debit Card,0,3,1847.52,Low,0.6298,1,pavani.bhat@ymail.com
CUST00084,Agastya Arora,29,Female,UAE,Premium,799,15,4.5,4,9,2,Action,Tablet,UPI,0,0,10046.02,High,0.1618,0,agastyaarora62@rediffmail.com
CUST00085,Girindra Nadkarni,19,Male,India,Basic,199,35,6.9,3,12,3,Drama,Mobile,Debit Card,0,0,6335.01,Medium,0.0905,0,girindranadkarni66@gmail.com
CUST00086,Tanish Mahal,22,Female,India,Basic,199,6,5,1,14,24,Kids,Laptop,UPI,1,0,524.86,Low,0.5604,1,tanishmahal77@gmail.com
CUST00087,Kala Patla,32,Female,India,Premium,799,4,1.5,2,13,15,Thriller,Laptop,Debit Card,2,0,444.94,Low,0.9072,1,kalapatla16@outlook.com
CUST00088,Ikshita Vala,32,Male,India,Standard,499,22,0.5,2,11,6,Romance,Tablet,UPI,0,2,1362.49,Low,0.8759,1,ikshita.vala@rediffmail.com
CUST00089,Aadhya Sampath,21,Other,India,Basic,199,24,7.5,3,14,0,Documentary,Tablet,Credit Card,2,0,2565.54,Low,0.4628,1,aadhya_sampath@outlook.com
CUST00090,Chandresh Mody,30,Other,UK,Basic,199,34,20.3,2,10,2,Comedy,Mobile,UPI,0,0,6268.81,Medium,0.0735,0,chandresh_mody@hotmail.com
CUST00091,Dev Sood,35,Female,India,Basic,199,29,0.9,3,8,10,Documentary,Mobile,Debit Card,0,1,2558.92,Low,0.5566,1,devsood34@yahoo.com
CUST00092,Pahal Sandhu,20,Other,India,Standard,499,24,1.9,3,9,2,Kids,Smart TV,UPI,1,1,1597.17,Low,0.8666,1,pahal317@ymail.com
CUST00093,Chaitaly Buch,38,Male,India,Standard,499,11,3.7,5,9,15,Kids,Smart TV,Debit Card,0,2,4129.77,Medium,0.2476,0,chaitaly.buch@hotmail.com
CUST00094,Anvi Goyal,26,Other,India,Basic,199,23,13.2,4,14,3,Comedy,Tablet,Credit Card,0,0,4122.77,Medium,0.0992,0,anvi.goyal@gmail.com
CUST00095,Faras Thaman,40,Other,USA,Basic,199,24,2.5,2,13,9,Romance,Laptop,Credit Card,0,0,3658.82,Medium,0.2339,0,faras_thaman@gmail.com
CUST00096,Meera Sidhu,25,Other,India,Basic,199,10,17.1,3,10,0,Action,Mobile,UPI,1,1,816.19,Low,0.5899,0,meera.sidhu@yahoo.com
CUST00097,Omisha Krishna,21,Other,UK,Premium,799,65,0.5,4,12,2,Action,Tablet,Debit Card,0,0,31197.25,High,0.3993,0,omishakrishna48@yahoo.com
CUST00098,Abeer Gole,26,Male,India,Standard,499,28,22.6,4,16,6,Action,Smart TV,UPI,0,0,12405.83,High,0.1121,0,abeer_gole@outlook.com
CUST00099,Nirja Samra,29,Other,India,Premium,799,8,6.6,1,7,9,Romance,Smart TV,Credit Card,3,2,1593.46,Low,0.7507,0,nirja.samra@rediffmail.com
CUST00100,Zilmil Bava,26,Female,India,Premium,799,34,8.6,2,13,4,Thriller,Tablet,UPI,0,0,24844.51,High,0.0855,0,zilmil.bava@ymail.com
CUST00101,Daniel Brahmbhatt,28,Other,India,Basic,199,38,3.7,2,20,0,Comedy,Laptop,Credit Card,0,1,6420.25,Medium,0.151,0,daniel.brahmbhatt@yahoo.com
CUST00102,Orinder Ghosh,32,Female,India,Standard,499,27,12.2,2,15,10,Comedy,Smart TV,Credit Card,0,1,10974.91,High,0.1854,1,orinder_ghosh@ymail.com
CUST00103,Mahika Prashad,28,Male,India,Standard,499,16,1.5,1,6,4,Comedy,Mobile,Credit Card,2,0,2034.79,Low,0.7451,0,mahika_prashad@hotmail.com
CUST00104,Urvashi Hegde,29,Other,India,Standard,499,10,0.5,2,9,0,Romance,Smart TV,UPI,0,0,2022.76,Low,0.5946,1,urvashi_hegde@yahoo.com
CUST00105,Christopher Mangal,18,Other,India,Basic,199,18,4,3,10,3,Drama,Mobile,Debit Card,1,0,1291.42,Low,0.6395,1,christopher.mangal@rediffmail.com
CUST00106,Nitara Dutt,33,Female,UK,Standard,499,25,15.4,2,9,6,Kids,Smart TV,Credit Card,4,0,7111.58,Medium,0.4299,1,nitara_dutt@gmail.com
CUST00107,Yuvraj Ghosh,29,Male,India,Basic,199,20,11.2,3,16,2,Action,Tablet,UPI,1,4,2067.74,Low,0.4805,1,yuvrajghosh1@gmail.com
CUST00108,Warhi Puri,42,Female,India,Basic,199,52,5.8,1,5,10,Thriller,Laptop,Credit Card,0,1,9837.43,High,0.0493,0,warhi175@ymail.com
CUST00109,Warhi Sane,22,Male,India,Standard,499,31,6.8,4,16,2,Documentary,Smart TV,Wallet,1,0,12326.83,High,0.2031,0,warhi.sane@rediffmail.com
CUST00110,Qarin Talwar,18,Female,India,Premium,799,9,1.1,4,8,4,Comedy,Mobile,Debit Card,1,0,1347.8,Low,0.8126,1,qarintalwar10@gmail.com
CUST00111,Hitesh Kalla,34,Female,USA,Premium,799,7,14.7,3,9,1,Drama,Tablet,Debit Card,0,0,4708.51,Medium,0.1581,0,hitesh_kalla@rediffmail.com
CUST00112,Chanakya Vohra,32,Male,India,Basic,199,28,12.4,4,13,3,Comedy,Mobile,Credit Card,0,2,4736.85,Medium,0.1499,0,chanakya161@rediffmail.com
CUST00113,Mohammed Handa,21,Female,India,Standard,499,16,8.5,1,8,1,Comedy,Laptop,Debit Card,1,4,2780.05,Low,0.6518,0,mohammed_handa@yahoo.com
CUST00114,Mohammed Chanda,18,Male,India,Basic,199,33,5,3,11,1,Action,Laptop,UPI,0,0,5561.99,Medium,0.153,0,mohammedchanda46@gmail.com
CUST00115,Fariq Dora,42,Other,India,Premium,799,28,26.7,1,7,1,Drama,Mobile,Wallet,0,3,19016.34,High,0.15,0,fariq372@ymail.com
CUST00116,Radhika Saraf,41,Male,India,Premium,799,18,16.9,2,11,0,Kids,Tablet,Debit Card,1,0,8509.53,High,0.4083,1,radhikasaraf96@rediffmail.com
CUST00117,Eesha Sawhney,18,Male,India,Basic,199,9,8.3,2,9,0,Drama,Smart TV,Wallet,2,0,1359.5,Low,0.2409,0,eesha912@yahoo.com
CUST00118,Logan Dixit,26,Male,India,Standard,499,4,3.7,2,16,2,Action,Laptop,Wallet,0,0,2228.46,Low,0.2557,0,logan_dixit@gmail.com
CUST00119,George Viswanathan,43,Male,India,Standard,499,23,7.7,2,13,0,Romance,Mobile,Wallet,0,2,7528.5,Medium,0.344,0,georgeviswanathan86@outlook.com
CUST00120,Matthew Kunda,26,Female,India,Basic,199,6,6.9,3,14,0,Romance,Laptop,Wallet,1,0,722.32,Low,0.395,1,matthew.kunda@hotmail.com
CUST00121,Jeremiah Hayer,26,Male,India,Standard,499,9,4,2,11,17,Drama,Laptop,Debit Card,1,2,1091.71,Low,0.7569,1,jeremiah889@outlook.com
CUST00122,Bhavna Gole,27,Male,India,Standard,499,22,2.9,4,14,2,Documentary,Laptop,Wallet,4,0,1433.46,Low,0.8694,1,bhavna846@yahoo.com
CUST00123,Yashoda Pandya,21,Male,Canada,Standard,499,20,4.2,3,13,2,Documentary,Laptop,UPI,1,1,3145.24,Medium,0.6848,1,yashodapandya40@hotmail.com
CUST00124,Wakeeta Grover,18,Male,UK,Standard,499,7,6.8,1,7,1,Thriller,Mobile,Wallet,1,0,2416.77,Low,0.3081,0,wakeetagrover4@yahoo.com
CUST00125,Guneet Ramachandran,38,Female,UAE,Basic,199,41,4.5,2,10,3,Drama,Tablet,UPI,4,0,3493.67,Medium,0.5718,0,guneet.ramachandran@outlook.com
CUST00126,Unnati Manne,18,Female,USA,Basic,199,41,2.4,4,11,4,Comedy,Smart TV,Wallet,0,0,6281.92,Medium,0.2301,0,unnati666@hotmail.com
CUST00127,Reva Saran,31,Male,India,Basic,199,29,11.4,2,13,2,Action,Laptop,Debit Card,0,2,4004.29,Medium,0.3061,1,reva.saran@ymail.com
CUST00128,Thomas Bora,37,Female,India,Premium,799,29,6.1,2,7,2,Romance,Tablet,Credit Card,0,1,18713.25,High,0.1924,0,thomas_bora@gmail.com
CUST00129,Karan Deep,18,Male,India,Premium,799,29,0.6,3,11,6,Kids,Smart TV,Wallet,0,0,11549.12,High,0.5016,0,karan620@gmail.com
CUST00130,Kalpit Ghosh,22,Male,UK,Premium,799,38,3.7,2,15,14,Documentary,Laptop,UPI,0,0,22802.21,High,0.249,0,kalpit_ghosh@hotmail.com
CUST00131,Vinaya Amble,39,Other,India,Basic,199,31,17.3,1,18,10,Comedy,Smart TV,Credit Card,0,2,4877.69,Medium,0.2093,1,vinaya.amble@outlook.com
CUST00132,Anamika Pandey,34,Male,India,Basic,199,10,11.3,2,10,0,Comedy,Smart TV,UPI,1,0,1418.98,Low,0.2869,0,anamika_pandey@outlook.com
CUST00133,Udyati Bala,25,Male,India,Premium,799,16,3.1,1,10,5,Romance,Mobile,UPI,2,3,1872.15,Low,0.8536,1,udyati.bala@gmail.com
CUST00134,Yamini Baral,39,Male,India,Premium,799,72,22.3,1,12,0,Thriller,Smart TV,Wallet,0,3,40437.2,High,0.2971,0,yaminibaral69@rediffmail.com
CUST00135,Advay Palla,39,Female,India,Basic,199,2,0.6,1,7,5,Comedy,Smart TV,Credit Card,0,1,54.37,Low,0.9545,1,advay_palla@hotmail.com
CUST00136,Yatan Merchant,32,Female,India,Standard,499,13,26,2,9,3,Drama,Smart TV,Wallet,0,1,4945.79,Medium,0.2376,0,yatan.merchant@rediffmail.com
CUST00137,Veer Mani,22,Female,India,Basic,199,42,2.3,2,12,3,Romance,Laptop,UPI,1,1,4893.57,Medium,0.4145,0,veer_mani@ymail.com
CUST00138,Abeer Dhar,26,Male,India,Standard,499,10,0.5,5,9,4,Romance,Mobile,Wallet,0,0,1413,Low,0.7168,1,abeer344@ymail.com
CUST00139,Advay Das,32,Female,India,Standard,499,32,4.6,2,16,6,Action,Smart TV,Credit Card,3,0,7558.56,Medium,0.5266,0,advaydas38@ymail.com
CUST00140,Omkaar Sodhi,28,Other,UAE,Basic,199,20,3.6,3,16,6,Kids,Tablet,Credit Card,0,0,3176.88,Medium,0.2018,0,omkaar690@yahoo.com
CUST00141,Yauvani Lad,37,Male,Singapore,Standard,499,11,6.2,1,10,0,Action,Tablet,Wallet,0,3,2308.67,Low,0.5794,0,yauvanilad96@ymail.com
CUST00142,Krishna Bora,18,Male,India,Standard,499,2,12.7,1,9,6,Comedy,Tablet,Credit Card,0,1,1500.61,Low,0.4988,1,krishna318@rediffmail.com
CUST00143,Ojasvi Jaggi,18,Female,India,Basic,199,23,14.8,4,16,8,Comedy,Mobile,UPI,0,0,3794.53,Medium,0.171,0,ojasvi_jaggi@rediffmail.com
CUST00144,Dakshesh Brahmbhatt,31,Male,India,Premium,799,10,4.1,3,8,0,Drama,Mobile,Wallet,2,1,2679.58,Low,0.6646,1,dakshesh_brahmbhatt@yahoo.com
CUST00145,Rachita Dubey,26,Female,India,Basic,199,18,4.5,1,11,1,Romance,Mobile,Wallet,3,0,1839.3,Low,0.4865,1,rachitadubey57@outlook.com
CUST00146,Frederick Bhagat,24,Female,India,Basic,199,28,1.3,2,17,7,Comedy,Smart TV,Debit Card,0,2,1220.29,Low,0.781,1,frederickbhagat61@rediffmail.com
CUST00147,Om Verma,18,Other,India,Standard,499,36,0.5,2,9,3,Comedy,Mobile,UPI,2,0,5165.43,Medium,0.7125,0,om_verma@ymail.com
CUST00148,Anika Sabharwal,30,Other,India,Standard,499,13,8.2,4,15,5,Documentary,Tablet,UPI,0,1,3774.28,Medium,0.4182,0,anika_sabharwal@gmail.com
CUST00149,Urishilla Pillay,29,Female,UK,Basic,199,11,0.5,1,12,3,Comedy,Tablet,Credit Card,0,0,432.32,Low,0.8025,1,urishilla.pillay@yahoo.com
CUST00150,Zaid Khanna,35,Male,India,Basic,199,6,10.6,2,6,19,Romance,Smart TV,UPI,2,1,590.26,Low,0.5056,0,zaid.khanna@gmail.com
CUST00151,Ekavir Sheth,30,Other,India,Premium,799,37,6.2,3,12,13,Romance,Mobile,Credit Card,0,0,24701.94,High,0.1644,0,ekavirsheth54@outlook.com
CUST00152,Faras Savant,28,Other,India,Standard,499,72,1.8,5,12,1,Documentary,Tablet,Wallet,0,0,25019.06,High,0.3036,0,faras403@ymail.com
CUST00153,Barkha Bahl,39,Other,UAE,Basic,199,40,6.2,4,13,2,Comedy,Tablet,Wallet,0,1,6713.05,Medium,0.1567,0,barkha.bahl@outlook.com
CUST00154,Liam Deshpande,19,Female,India,Standard,499,46,1.6,1,11,2,Drama,Tablet,Credit Card,0,1,12260.2,High,0.4659,1,liamdeshpande55@gmail.com
CUST00155,Saanvi Kala,34,Other,India,Basic,199,10,4.6,3,9,0,Action,Tablet,Credit Card,0,5,410.25,Low,0.7938,1,saanvi.kala@ymail.com
CUST00156,Nathaniel Seshadri,18,Other,India,Basic,199,27,12.9,3,9,2,Thriller,Tablet,Debit Card,2,1,3032.09,Medium,0.4357,1,nathaniel.seshadri@rediffmail.com
